字段 13,字段 9,字段 10,字段 12,字段 8,公司,字段 1,字段 15,字段 6,父记录 2,链接,字段 5,字段 4,字段 2,字段 3,公司2,字段 7,链接2,字段 14,父记录,字段 11,字段 16
,,,,,哈尔滨电气集团有限公司,,,,,https://www.harbin-electric.com/,,,,,中国冶金地质总局,,https://www.cmgb.com.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国东方电气集团有限公司,,,,,https://www.dongfang.com/,,,,,中国煤炭地质总局,,http://www.ccgc.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国海洋石油集团有限公司,,,,,https://www.cnooc.com.cn/#1,,,,,中国盐业集团有限公司,,http://www.chinasalt.com.cn/,,,,
,,,,,中国电子信息产业集团有限公司,,,,,https://www.cec.com.cn/,,,,,中国农业发展集团有限公司,,https://www.cnadc.com.cn/,,,,
,,,,,中国矿产资源集团有限公司,,,,,http://www.125442.com/33.html,,,,,中国航空油料集团有限公司,,http://www.cnaf.com/,,,,
,,,,,中国储备粮管理集团有限公司,,,,,https://www.sinograin.com.cn/indexWeb.html,,,,,中国检验认证(集团)有限公司,,https://www.ccic.com/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国兵器工业集团有限公司,,,,,http://www.norincogroup.com.cn/,,,,,中国诚通控股集团有限公司,,http://www.cctgroup.com.cn/,,,,
,,,,,中国融通资产管理集团有限公司,,,,,https://www.crtamg.com.cn/,,,,,中国中钢集团有限公司,,http://www.sinosteel.com/,,,,
,,,,,中国宝武钢铁集团有限公司,,,,,http://www.baowugroup.com/home,,,,,中国民航信息集团有限公司,,http://www.travelsky.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国航天科工集团有限公司,,,,,http://www.casic.com.cn/,,,,,中国商用飞机有限责任公司,,http://www.comac.ccl,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
