日期,附件,企业名称,内推码
,,中望软件,内推码：DSsQzV3e
,,柠檬微趣,内推码：NTA0tU4
,,中科闻歌,内推码：ESKM8B
,,云和恩墨,【内推码】NTANAPh
,,锐捷网络,内推码 ：DSMbX4hJ
,,小熊电器,DSHakx3k
,,顺丰,【内推码】 9L61ZX
,,叮咚买菜,内部推荐码：ESVGHA
,,飞鱼科技,【内推码】DSEVuQ33
,,TP-Link联洲,内推码：ESV6VJ
,,度小满,内推码：NTANSzA
,,中审众环,内推码：ESVM8R
,,金风科技,IVKMVJ 
,,快手,内推码：cAtyQOIgt
,,卓胜微,ES3210
,,中芯国际,ZX11
,,宁德时代,内推码：DS66gCkX
,,腾讯（实习）,内推链接
,,大参林医药集团,DSQHN47k
,,海尔,PBTXH5J
,,美团,X3TTMWA
,,锂威能源,ESV8S9
,,京东,5R5P4M
,,美团,BN2W2E6
,,韶音科技:,DSelvF9A
,,元戎启行,NTAW9FW
,,智元机器人,KTCMG5Z
,,拼多多,7yrtpJ6RGo
,,滴滴春招,DSFhkVhm
,,菜鸟集团2027届暑期实习,6GJN6OD
,,OBSBOT寻影,S7VC7BM
,,TP-Link联洲,EZVROT
,,帆软软件:,KPMVDFQ
,,360集团（安全+AI岗）,ISBMA2
,,宁德时代,NTAmx3P
,,招商银行·招银网络科技,SFQSAK
,,SHEIN26届补录&27届实习,DS23Cykh
,,安克创新,XXP6X5V
,,地平线:,nacqlk
,,文远知行,DSRbcYhd
,,浩鲸科技,IVBY2V
,,沐瞳科技,C32JVF8
,,三环集团:,861049
,,顺丰集团:,1433288
,,4399,oqdn4
,,影石创新,6M6FUSJ
,,百度春招&实习,S9FJJ
,,搜狐集团:,DS4Ry9Sm
,,海康威视春招&实习,GHJ096
,,影石,RZ9J43U
,,招商银行总行：分行,GFD1 ： JKZM ： QTCMIK
,,OPPO,X3448036
,,快手,DS4wNF4WcampusPuzAmyzBK
,,锐捷网络,DSbjJXfD
,,江淮汽车,ESK2KV
,,拼多多,OeATY4HjKI
,,拼多多,gqkeCUAEg9
,,浪潮,7PCr9KE
,,天锐星通,PY8GJ5K
,,联想,2026XZLMCX
,,小米,PQ6Y7GH
,,点点互动,DScqkam5
,,地平线(日常实习),vdznjc
,,滴滴2027届秋招储备实习生,vdznjc
,,思摩尔国际,DSDaknry
,,作业帮,DSrVFFx1
,,米哈游,43WU
,,网易互娱,9QcfNR
,,学而思,DSp3z1d1
,,叠纸游戏,ESV4AG
,,传音控股:,EVKG1V
,,FunPlus,DSWVmGru
,,9377游戏,EVKM8A
,,欣旺达,EV98HH
,,震坤行,EVVORG
,,作业帮,DSNwYcz4
