year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 博士研究生-物流管理,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：安家费/科研启动费；薪酬：20-35万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281830.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 高级职称人才-会计,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：14-25万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281829.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 高级职称人才-电子商务,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：14-25万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281828.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,武汉文理学院,武汉文理学院 人事处处长,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：五险一金/节日福利；薪酬：14-16万/年；单位性质：民营（私营）,武汉 湖北-武汉,/job/detail/1683414.html,武汉文理学院人事处处长招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 高级职称人才-全媒体电商运营,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：14-25万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281827.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 高级职称人才-物流管理,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：14-25万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281826.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 青年硕士-会计,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：8-10万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281825.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,深圳市科技创新战略研究中心（深圳虚拟大学园管理服务中心）,深圳市科技创新战略研究中心（深圳虚拟大学园管理服务中心） 博士后-深圳未来能源技术预见研究,博士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：五险一金/定期/免费体检；薪酬：36-38万/年；单位性质：公立（国有）,深圳 广东-深圳,/job/detail/2259320.html,深圳市科技创新战略研究中心2026年面向全国招聘3名博士后！,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 青年硕士-电子商务,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：8-10万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281824.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 青年硕士-全媒体电商运营,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：8-10万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281823.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,南昌职业大学,南昌职业大学 青年硕士-物流管理,硕士研究生,,,网申+考核,,,招聘人数：若干；待遇标签：包住/五险二金；薪酬：8-10万/年；单位性质：民营（私营）,南昌 江西-南昌,/job/detail/2281822.html,暑期专场｜南昌职业大学2026年人才招聘（博士 / 高级职称 / 青年教师）,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,泉州轻工职业学院,泉州轻工职业学院 电气自动化专业教师,本科,,,网申+考核,,,招聘人数：3；待遇标签：科研奖励/住房补贴；薪酬：面议；单位性质：民营（私营）,泉州 福建-泉州,/job/detail/2154029.html,泉州轻工职业学院2026年秋季招聘计划,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,广州东华职业学院,广州东华职业学院 副校长,本科,,,网申+考核,,,招聘人数：1；待遇标签：五险一金/节日福利；薪酬：面议；单位性质：民营（私营）,广州 广东-广州,/job/detail/2283003.html,广州东华职业学院2026年副校长招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,广州东华职业学院,广州东华职业学院 银龄教师-医药健康学院,本科,,,网申+考核,,,招聘人数：若干；待遇标签：定期/免费体检/提供住房公寓；薪酬：面议；单位性质：民营（私营）,广州 广东-广州,/job/detail/2282219.html,广州东华职业学院2026年银龄教师招聘公告,
2026,事业单位,2026高校/科研院所人才引进（高校人才网）,广州东华职业学院,广州东华职业学院 银龄教师-管理与教育学院,本科,,,网申+考核,,,招聘人数：若干；待遇标签：定期/免费体检/提供住房公寓；薪酬：面议；单位性质：民营（私营）,广州 广东-广州,/job/detail/2282218.html,广州东华职业学院2026年银龄教师招聘公告,
