year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2025,选调生,2025安徽省选调生,高校二,120007 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：8；报名人数：56；分数线：133.9；最高分：144.7,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,120008 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：8；报名人数：58；分数线：128.5；最高分：148.0,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,120009 高校二,大学本科、硕士研究生,,,笔试+面试,,,招聘人数：4；报名人数：55；分数线：139.7；最高分：153.9,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,120010 高校二,大学本科、硕士研究生,,,笔试+面试,,,招聘人数：4；报名人数：55；分数线：133.3；最高分：137.1,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校三,120011 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：118；分数线：137.0；最高分：141.2,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校三,120012 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：65；分数线：132.5；最高分：149.0,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校三,120013 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：9；报名人数：205；分数线：131.7；最高分：141.9,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校三,120014 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：9；报名人数：179；分数线：129.4；最高分：148.6,安徽 芜湖市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校一,50001 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：1；报名人数：13；分数线：136.6；最高分：146.4,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校一,50002 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：26；分数线：131.7；最高分：141.2,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,50003 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：26；分数线：138.6；最高分：151.0,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,50004 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：1；报名人数：6；分数线：124.1；最高分：141.6,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,50005 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：8；报名人数：38；分数线：120.1；最高分：141.6,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校二,50006 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：11；分数线：116.5；最高分：143.2,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校三,50007 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：4；报名人数：101；分数线：134.3；最高分：143.7,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2025,选调生,2025安徽省选调生,高校三,50008 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：8；报名人数：159；分数线：128.2；最高分：142.5,安徽 蚌埠市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,148241 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：6；分数线：125.9；最高分：140.7,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,148251 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：7；分数线：129.8；最高分：134.2,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,148341 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：17；分数线：129.4；最高分：135.2,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,148342 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：7；分数线：120.4；最高分：143.8,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,148351 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：8；分数线：126.7；最高分：137.5,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,148352 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：6；报名人数：17；分数线：122.6；最高分：141.3,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校三,148441 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：6；报名人数：89；分数线：135.1；最高分：143.2,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校三,148451 高校三,大学本科及以上,,,笔试+面试,,,招聘人数：6；报名人数：78；分数线：132.3；最高分：150.6,安徽 铜陵市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,68241 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：13；分数线：131.5；最高分：147.2,安徽 阜阳市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校一,68251 高校一,大学本科及以上,,,笔试+面试,,,招聘人数：3；报名人数：18；分数线：133.3；最高分：148.8,安徽 阜阳市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,68341 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：6；报名人数：33；分数线：130.2；最高分：148.0,安徽 阜阳市,https://www.xduim.com/zw/xuandiao,,
2024,选调生,2024安徽省选调生,高校二,68342 高校二,大学本科及以上,,,笔试+面试,,,招聘人数：2；报名人数：9；分数线：129.7；最高分：132.9,安徽 阜阳市,https://www.xduim.com/zw/xuandiao,,
