year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇,16033 县辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：支农；服务单位：乡镇人民政府；招聘人数：2；报名人数：76；合格人数：50；缴费人数：34,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇、街道,16034 县辖乡镇、街道,大专及以上,不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇人民政府；招聘人数：6；报名人数：289；合格人数：196；缴费人数：150,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇、街道,16035 县辖乡镇、街道,大专及以上,不限,,笔试+面试,,,招募类别：支农；服务单位：乡镇人民政府；招聘人数：2；报名人数：87；合格人数：49；缴费人数：28,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇、街道,16036 县辖乡镇、街道,大专及以上,水利大类（大专）；水利类（本科）；土木工程、水利工程、农业工程（一级学科），土木水利（专业学位硕士）（研究生）,,笔试+面试,,,招募类别：支农；服务单位：孚玉镇人民政府；招聘人数：1；报名人数：14；合格人数：11；缴费人数：3,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：水利大类（大专）；水利类（本科）；土木工程、水利工程、农业工程（一级学科），土木水利（专业学位硕士）（研究生）
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇、街道,16037 县辖乡镇、街道,大专及以上,不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：趾凤乡人民政府；招聘人数：1；报名人数：51；合格人数：26；缴费人数：12,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇、街道,16038 县辖乡镇、街道,大专及以上,建筑设计类、城乡规划与管理类、土建施工类（大专）；地理科学类、力学类、土木类、建筑类（本科）；地理学、力学、建筑学、土木工程、城乡规划学（一级学科），建筑、城乡规划（专业学位硕士）（研究生）,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：龙山街道；招聘人数：1；报名人数：23；合格人数：19；缴费人数：13,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：建筑设计类、城乡规划与管理类、土建施工类（大专）；地理科学类、力学类、土木类、建筑类（本科）；地理学、力学、建筑学、土木工程、城乡规划学（一级学科），建筑、城乡规划（专业学位硕士）（研究生）
2022,三支一扶,2022安徽三支一扶招募,县辖乡镇,16014 县辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：县辖乡镇；招聘人数：6,安徽 安庆市岳西县,https://www.xduim.com/zw/szyf,,专业：不限
2024,三支一扶,2024安徽三支一扶招募,县农业农村局,16276 县农业农村局,大专及以上,大专：410103现代农业技术、410104生态农业技术、410105园艺技术、410106植物保护与检疫技术； 大学本科：090101农学、090102园艺、090103植物保护、090104植物科学与技术、090106设施农业科学与工程、090107T茶学； 研究生：0901作物学、0902园艺学、0904植物保护，0951农业（专业硕士学位）。,,笔试+面试,,,招募类别：支农；服务单位：乡镇农技站；招聘人数：3；报名人数：13；合格人数：6；缴费人数：4,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：410103现代农业技术、410104生态农业技术、410105园艺技术、410106植物保护与检疫技术； 大学本科：090101农学、090102园艺、090103植物保护、090104植物科学与技术、090106设施农业科学与工程、090107T茶学； 研究生：0901作物学、0902园艺学、0904植物保护，0951农业（专业硕士学位）。
2024,三支一扶,2024安徽三支一扶招募,县农业农村局,16277 县农业农村局,大专及以上,大专：410303畜牧兽医、410306动物防疫与检疫、410301动物医学、410310动物营养与饲料； 大学本科：090401动物医学、090301动物科学、090402动物药学、090403T动植物检疫； 研究生：0906兽医学，0952兽医（专业硕士学位）。,,笔试+面试,,,招募类别：支农；服务单位：乡镇畜牧兽医站；招聘人数：2；报名人数：11；合格人数：3；缴费人数：2,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：410303畜牧兽医、410306动物防疫与检疫、410301动物医学、410310动物营养与饲料； 大学本科：090401动物医学、090301动物科学、090402动物药学、090403T动植物检疫； 研究生：0906兽医学，0952兽医（专业硕士学位）。
2024,三支一扶,2024安徽三支一扶招募,县卫健委,16278 县卫健委,大专及以上,大专：520401K中医学、520403K针灸推拿、520416中医康复技术； 大学本科：100501K中医学； 研究生：1005 中医学、1006中西医结合，1057中医（专业硕士学位）。,,笔试+面试,,,招募类别：支医；服务单位：乡镇卫生院；招聘人数：3；报名人数：16；合格人数：7；缴费人数：4,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：520401K中医学、520403K针灸推拿、520416中医康复技术； 大学本科：100501K中医学； 研究生：1005 中医学、1006中西医结合，1057中医（专业硕士学位）。
